Customer Code,Date,Actual (KG),Forecast (KG)
CUST001,2024-01-01,2450,2300
CUST001,2024-02-01,2180,2250
CUST001,2024-03-01,2890,2800
CUST001,2024-04-01,3120,3000
CUST001,2024-05-01,3450,3200
CUST001,2024-06-01,3280,3400
CUST001,2024-07-01,3650,3500
CUST001,2024-08-01,3420,3600
CUST001,2024-09-01,3190,3300
CUST001,2024-10-01,2980,3100
CUST001,2024-11-01,2750,2900
CUST001,2024-12-01,2520,2600
CUST002,2024-01-01,1850,1900
CUST002,2024-02-01,1720,1800
CUST002,2024-03-01,2010,1950
CUST002,2024-04-01,2240,2100
CUST002,2024-05-01,2580,2400
CUST002,2024-06-01,2890,2700
CUST002,2024-07-01,3120,2950
CUST002,2024-08-01,2950,3100
CUST002,2024-09-01,2680,2800
CUST002,2024-10-01,2420,2500
CUST002,2024-11-01,2180,2300
CUST002,2024-12-01,1950,2000
CUST003,2024-01-01,4200,4100
CUST003,2024-02-01,3850,4000
CUST003,2024-03-01,4580,4400
CUST003,2024-04-01,4920,4700
CUST003,2024-05-01,5340,5100
CUST003,2024-06-01,5680,5500
CUST003,2024-07-01,5920,5800
CUST003,2024-08-01,5450,5700
CUST003,2024-09-01,5120,5300
CUST003,2024-10-01,4780,4900
CUST003,2024-11-01,4320,4500
CUST003,2024-12-01,4050,4200
CUST004,2024-01-01,890,950
CUST004,2024-02-01,820,900
CUST004,2024-03-01,1120,1050
CUST004,2024-04-01,1350,1200
CUST004,2024-05-01,1580,1400
CUST004,2024-06-01,1720,1600
CUST004,2024-07-01,1890,1750
CUST004,2024-08-01,1650,1800
CUST004,2024-09-01,1420,1550
CUST004,2024-10-01,1180,1300
CUST004,2024-11-01,980,1100
CUST004,2024-12-01,850,950
